stimulus_filename,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_image.started,welcome_key_resp.started,welcome.stopped,welcome_key_resp.keys,welcome_key_resp.rt,welcome_key_resp.duration,instruction.started,instruction_image.started,instruction_key_resp.started,instruction.stopped,instruction_key_resp.keys,instruction_key_resp.rt,instruction_key_resp.duration,start.started,start_image.started,key_resp.started,start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,block_info.started,block_text.started,block_info.stopped,img_presentation.started,ISI_text.started,stimulus_image.started,ISI_text.stopped,stimulus_image.stopped,text.started,text.stopped,img_presentation.stopped,evaluation.started,horizontal_polygon.started,vertical_polygon.started,ha_text.started,la_text.started,negative_text.started,positive_text.started,mouse.started,evaluation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,rest.started,rest.stopped,key_resp_2.keys,rest_image.started,key_resp_2.started,key_resp_2.rt,key_resp_2.duration,block_text.stopped,end.started,end_image.started,key_resp_3.started,end.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.02124897150679317,0.05457899769589858,0.05457899769589858,12.755041541721766,space,12.691874517826363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
,,,,,,,,,,,,,,12.755059788034487,12.787910278319032,12.787910278319032,15.471665187004874,space,2.677632700585491,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
neg_107.jpg,0,80,80,9,402.4739006454065,,,,,,,,,,,,,,,,,,,,,,,402.4448858721653,,402.4449169479167,402.4449237902836,402.4739006454065,403.4572685612038,403.47391461523966,404.4572431874258,404.4572431874258,404.7239150428877,404.69082307405915,404.69083162701827,404.7239150428877,404.7239150428877,404.7239150428877,404.7239150428877,404.7239150428877,404.7239150428877,0.029047987231933803,405.49118104390527,[-120.0],[63.0],[1],[0],[0],[0.7668092730036733],405.49174154782304,405.4948933132391,None,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
neg_60.jpg,0,81,81,149,405.52392804338524,,,,,,,,,,,,,,,,,,,,,,,405.49512367293664,,405.49515417849125,405.4951610208582,405.52392804338524,406.5072603218532,406.52392576259626,407.50726602382656,407.50726602382656,407.7740476422623,407.7408416339804,407.7408501869395,407.7740476422623,407.7740476422623,407.7740476422623,407.7740476422623,407.7740476422623,407.7740476422623,0.028942215637471236,408.774513493433,[-244.0],[276.0],[1],[0],[0],[1.0000225227922783],408.7750520447562,408.77814393945846,None,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
neg_7.jpg,0,82,82,159,408.80730268751086,,,,,,,,,,,,,,,,,,,,,,,408.7783714481702,,408.7784016686255,408.77840851099245,408.80730268751086,409.7906187153567,409.807318938133,410.7906463699246,410.7906463699246,411.057244669938,411.02417835998676,411.0241863427491,411.057244669938,411.057244669938,411.057244669938,411.057244669938,411.057244669938,411.057244669938,0.02889118298298854,411.7245026311748,[-253.0],[191.0],[1],[0],[0],[0.6668029438142185],411.7250702625588,411.72812252855147,None,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
neg_10.jpg,0,83,83,1,411.75732119041186,,,,,,,,,,,,,,,,,,,,,,,411.7283514627552,,411.7283825385066,411.7283890957751,411.75732119041186,412.74066401753043,412.75731320765044,413.7406477669083,413.7406477669083,414.00723722886414,413.97424105317714,413.97424932103786,414.00723722886414,414.00723722886414,414.00723722886414,414.00723722886414,414.00723722886414,414.00723722886414,0.028904012420753133,414.5744708996972,[-170.0],[-35.0],[1],[0],[0],[0.5667900573562292],414.5750191443731,414.577971625843,None,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
neu_23.jpg,0,84,84,300,414.6073145476139,,,,,,,,,,,,,,,,,,,,,,,414.57820341103434,,414.57823448678573,414.57824132915266,414.6073145476139,415.5906533833513,415.60731996448794,416.59066906377575,416.59066906377575,416.87399381564046,416.82423811666104,416.82424695471855,416.87399381564046,416.87399381564046,416.87399381564046,416.87399381564046,416.87399381564046,416.87399381564046,0.045809221116542176,417.24115809346586,[-67.0],[26.0],[1],[0],[0],[0.3666704869883688],417.2417231589616,417.2447885394913,None,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
neu_109.jpg,0,85,85,203,417.2739983201991,,,,,,,,,,,,,,,,,,,,,,,417.24501747369504,,417.24504826434804,417.2450548216166,417.2739983201991,418.2573402920207,418.27400202648096,419.25735454695223,419.25735454695223,419.5407411652204,419.4909178978651,419.490927021021,419.5407411652204,419.5407411652204,419.5407411652204,419.5407411652204,419.5407411652204,419.5407411652204,0.04574279313419538,420.8745588811362,[77.0],[253.0],[1],[0],[0],[1.3333378949109829],420.87513050390044,420.87832104273093,None,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
neg_71.jpg,0,86,86,161,420.90736774701963,,,,,,,,,,,,,,,,,,,,,,,420.8785551087112,,420.8785858993633,420.87859274173115,420.90736774701963,421.89070658275614,421.9073922655016,422.89070430196716,422.89070430196716,423.1740350409027,423.12423173045136,423.1242397132137,423.1740350409027,423.1740350409027,423.1740350409027,423.1740350409027,423.1740350409027,423.1740350409027,0.045501029490878864,424.80800117916806,[-330.0],[280.0],[1],[0],[0],[1.633517678111275],424.8085531301267,424.81161908085323,None,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
neu_103.jpg,0,87,87,197,424.84074447236526,,,,,,,,,,,,,,,,,,,,,,,424.8118480150579,,424.81187937590767,424.8118862182746,424.84074447236526,425.82405622373153,425.84072366016426,426.82410583089404,426.82410583089404,427.10739922190896,427.05764209743666,427.0576506503958,427.10739922190896,427.10739922190896,427.10739922190896,427.10739922190896,427.10739922190896,427.10739922190896,0.04556916806541267,428.4414421657457,[216.0],[100.0],[1],[0],[0],[1.3335457318162298],428.44202234146906,428.44510254712804,None,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
neg_28.jpg,0,88,88,113,428.47409793366205,,,,,,,,,,,,,,,,,,,,,,,428.44533376212166,,428.44536512297145,428.4453719653384,428.47409793366205,429.4574436117664,429.47409821876045,430.4574210889741,430.4574210889741,430.7407800526744,430.69099413324057,430.6910018309036,430.7407800526744,430.7407800526744,430.7407800526744,430.7407800526744,430.7407800526744,430.7407800526744,0.045463966668648936,432.591230708088,[-107.0],[-120.0],[1],[0],[0],[1.849977676776689],432.5918097434169,432.5948768345388,None,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
neu_113.jpg,0,89,89,208,432.6241037211639,,,,,,,,,,,,,,,,,,,,,,,432.5951086197292,,432.5951396954806,432.59514653784754,432.6241037211639,433.6074428419997,433.6241074274467,434.60745082476205,434.60745082476205,434.89078641037395,434.8410820291492,434.84109058210834,434.89078641037395,434.89078641037395,434.89078641037395,434.89078641037395,434.89078641037395,434.89078641037395,0.045695466760662384,435.44132413491116,[27.0],[-22.0],[1],[0],[0],[0.5500197003157155],435.4419043106345,437.4745158882615,space,435.4574826702792,435.4574826702792,2.003570290213247,None,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
