MaxPool1,MaxPool2,MaxPool3,MaxPool4,MaxPool5,classifing
0.8602962493896484,0.9009540677070618,0.8976642489433289,0.858697772026062,0.7570323944091797,0.46996933221817017
0.7995569705963135,0.8259408473968506,0.848534882068634,0.8453641533851624,0.7383896112442017,0.429115891456604
0.7982392311096191,0.8761362433433533,0.8921330571174622,0.8698354959487915,0.8371792435646057,0.49385344982147217
0.8469226956367493,0.9180043935775757,0.9178760051727295,0.9473152756690979,0.9111469388008118,0.6444876790046692
0.8517811298370361,0.9031246304512024,0.9322209358215332,0.9060462117195129,0.9104865789413452,0.7462624311447144
0.8698336482048035,0.8671647906303406,0.8717866539955139,0.897140622138977,0.8209494948387146,0.3927730917930603
0.8611157536506653,0.8689254522323608,0.8720874190330505,0.8770357966423035,0.8392826318740845,0.5722949504852295
0.8734656572341919,0.8745929002761841,0.8612185120582581,0.8098359107971191,0.7553951740264893,0.5311601161956787
0.8700534105300903,0.8870119452476501,0.8572752475738525,0.8485417366027832,0.7687666416168213,0.5681688785552979
0.8036625385284424,0.8485619425773621,0.8406438827514648,0.8432512283325195,0.7873333096504211,0.5222687721252441
0.8975386023521423,0.9002383947372437,0.9111448526382446,0.8862766027450562,0.8583894968032837,0.5081977248191833
0.8734267354011536,0.9203977584838867,0.8940279483795166,0.9008397459983826,0.8544728755950928,0.7372579574584961
0.9087153077125549,0.9130489230155945,0.9338793754577637,0.9488323926925659,0.8970950245857239,0.668477475643158
0.8942548036575317,0.9150058627128601,0.9221587181091309,0.9084356427192688,0.8986174464225769,0.7300106287002563
0.7669980525970459,0.8572072386741638,0.8912690877914429,0.8880942463874817,0.8398272395133972,0.6606074571609497
0.7774317264556885,0.8549546599388123,0.901772141456604,0.9000266194343567,0.8614299297332764,0.680819034576416
0.9092065691947937,0.9126590490341187,0.9205768704414368,0.9059181213378906,0.8815826177597046,0.7037188410758972
0.8878201246261597,0.9114698767662048,0.91948002576828,0.8985872268676758,0.8090278506278992,0.6508604288101196
0.8433181643486023,0.8627310991287231,0.890600323677063,0.8998249769210815,0.8856384754180908,0.7613062262535095
0.7657991051673889,0.8659260869026184,0.8977605700492859,0.8880817890167236,0.8820917010307312,0.6395825147628784
0.7923634648323059,0.8998407125473022,0.9232797622680664,0.9291601777076721,0.9479900598526001,0.7341213226318359
0.7200709581375122,0.8284890055656433,0.8694632053375244,0.8394754528999329,0.7659940719604492,0.6167961955070496
0.9347693920135498,0.914947509765625,0.9133974313735962,0.9301815629005432,0.9297284483909607,0.691586971282959
0.8054291009902954,0.8784986138343811,0.900897204875946,0.8959665298461914,0.918703556060791,0.7968834638595581
0.8263119459152222,0.8834943175315857,0.8928782939910889,0.8925880789756775,0.8802521824836731,0.6073423624038696
0.8077810406684875,0.8777458667755127,0.9012966752052307,0.909300684928894,0.905894935131073,0.6250466108322144
0.9458441138267517,0.9491840600967407,0.935791015625,0.916741669178009,0.9260337352752686,0.6859167814254761
0.8467048406600952,0.9091760516166687,0.9092503786087036,0.8917712569236755,0.8650836944580078,0.72795569896698
0.870016872882843,0.8966683149337769,0.9011184573173523,0.8998515605926514,0.8988450169563293,0.7143344879150391
0.8927927017211914,0.9303006529808044,0.9143421649932861,0.8958151340484619,0.9155160784721375,0.7168415784835815
0.882524311542511,0.9386682510375977,0.9084874987602234,0.9024481773376465,0.9310802817344666,0.7628432512283325
0.9011194109916687,0.9132440090179443,0.9159889817237854,0.9149188995361328,0.9029311537742615,0.681972086429596
0.8158951997756958,0.854248046875,0.8606131076812744,0.8818380236625671,0.9037683606147766,0.699111819267273
0.9115524888038635,0.9113228917121887,0.9038603901863098,0.9038998484611511,0.9178789854049683,0.7721022963523865
0.7673020958900452,0.8271565437316895,0.8635348081588745,0.8588460683822632,0.8376484513282776,0.6551951169967651
0.8104416131973267,0.8468676209449768,0.8970147967338562,0.9122992157936096,0.8860889673233032,0.6730954647064209
0.7977422475814819,0.8305655717849731,0.8928388357162476,0.9112697243690491,0.8948385119438171,0.6964632868766785
0.7972159385681152,0.8316618204116821,0.8810164928436279,0.8622280359268188,0.8510725498199463,0.6862372159957886
0.8081855177879333,0.871491014957428,0.8931809067726135,0.8671050071716309,0.8624358773231506,0.6695886254310608
0.79147869348526,0.8249937295913696,0.8775026202201843,0.877804160118103,0.8582522869110107,0.6349577903747559
0.8321607112884521,0.8776853084564209,0.9052493572235107,0.8946861028671265,0.8787398338317871,0.6613186597824097
0.8515646457672119,0.9096993803977966,0.8996309638023376,0.9070582389831543,0.9530648589134216,0.8084073066711426
0.8458983302116394,0.8705451488494873,0.9114006757736206,0.8977510333061218,0.9130148887634277,0.6487545967102051
0.7751145958900452,0.8284164071083069,0.8807979822158813,0.8635972142219543,0.8990558385848999,0.7282414436340332
0.8666027784347534,0.8670898675918579,0.9052248597145081,0.9246672987937927,0.9407956004142761,0.6902304887771606
0.7634242177009583,0.8243502378463745,0.8754738569259644,0.8847733736038208,0.9456494450569153,0.8381262421607971
0.8325288891792297,0.8762860298156738,0.8934414386749268,0.8801542520523071,0.887409508228302,0.7690610885620117
0.7856087684631348,0.8413971662521362,0.8796845078468323,0.8657434582710266,0.8091150522232056,0.6374948024749756
0.785230278968811,0.8243046998977661,0.8614789843559265,0.8785649538040161,0.8833038210868835,0.6936632394790649
0.823536217212677,0.8570311069488525,0.8808714151382446,0.8706445097923279,0.8373566269874573,0.6538327932357788
0.8206815719604492,0.8713102340698242,0.8711994886398315,0.8706817626953125,0.8604413866996765,0.6920710802078247
0.8372160196304321,0.8450349569320679,0.8568131327629089,0.8625358939170837,0.8309675455093384,0.7275886535644531
0.8127639889717102,0.8678277730941772,0.8924907445907593,0.8718068599700928,0.8863637447357178,0.6752511262893677
0.8428422212600708,0.897757351398468,0.8920415043830872,0.8979978561401367,0.9252462983131409,0.6998244524002075
0.8406252264976501,0.8646856546401978,0.8989424705505371,0.9108587503433228,0.8968222141265869,0.7809492349624634
0.8719533681869507,0.8803841471672058,0.8896982073783875,0.8791232109069824,0.8931777477264404,0.7323483228683472
0.817101776599884,0.845548689365387,0.9029737710952759,0.914214551448822,0.9060568809509277,0.706667959690094
0.792404294013977,0.8642435669898987,0.8894012570381165,0.8858053684234619,0.9120855331420898,0.6367456912994385
0.7500132918357849,0.7952578067779541,0.8532230854034424,0.8458560109138489,0.8273791670799255,0.6433343887329102
0.8072254061698914,0.8723223209381104,0.9007163643836975,0.9024994969367981,0.9130150079727173,0.5881407260894775
0.8308417797088623,0.871613085269928,0.8919235467910767,0.8863133192062378,0.873060941696167,0.5816285610198975
